# Batting Statistics
## 
### 
Player BA G/GS AB R H RBI 2B 3B HR SB/SBA SO BB ON BASE
Dave Cornell .348 38/37 158 32 55 24 9 2 2 12/18 10 13 72/176
Jeffrey Hammonds .345 30/30 119 31 41 21 7 1 3 26/32 5 17 62/141
Chris Kemper .336 31/29 107 21 36 23 9 2 2 2/3 16 11 49/122
Dusty Allen .336 37/36 128 22 43 28 12 2 3 3/6 34 29 75/163
Steve Solomon .317 37/34 120 18 38 18 6 0 3 5/6 13 12 54/142
Mark Skeels .256 38/38 121 25 31 29 11 0 3 3/4 19 38 73/168
John Lynch .254 22/18 67 12 17 15 2 0 3 2/2 16 7 24/73
Jed Hansen .241 36/35 108 22 26 12 6 0 2 3/6 28 18 44/131
David Holbrook .235 30/27 102 20 24 14 5 0 1 2/3 12 5 34/116
Tony Detter .212 25/19 66 7 14 9 4 0 2 1/2 13 8 22/75
Jeff DesJardins .196 34/30 102 14 20 17 3 0 1 3/6 21 15 40/124
Steve Carver .143 8/0 7 1 1 0 0 0 0 0/0 0 1 2/7
Nate Olmstead .105 14/2 19 1 2 2 1 0 0 1/1 4 1 5/19
Matt Bokemeier .071 19/7 28 4 2 2 0 0 0 0/0 7 3 7/34
Brian Taylor .000 7/0 1 0 0 0 0 0 0 0/0 1 0 0/2
Jimmy Noriega .000 8/0 2 0 0 0 0 0 0 0/0 1 2 1/3
Chris Holcombe .000 1/0 0 0 0 0 0 0 0 0/0 0 0 0/0
Kobie Flowers .000 7/0 0 3 0 0 0 0 0 1/1 0 1 1/1
Todd Laßocca .000 12/0 5 3 0 1 0 0 0 0/1 1 1 1/6
Rod Meyer .000 1/0 0 1 0 0 0 0 0 0/0 0 0 0/0
