# SPECIAL FEE REQUEST
## SPECIAL FEE REQUESTS 
### 
Summary of Special Fee Requests
Gross Fee Amt/Person/
Organization Request Quarter
ASSU Legal Counseling $59,704 $1.44
ASSU News 8,040 0.20
ASSU Speaker's Bureau 75,479 1.82
Axe Committee 23,836 0.58
Black Student Union 22,747 0.55
The Chaparral 9,333 0.23
Chicanos in Public Service 8,307 0.20
Club Sports 73,457 1.77
Concert Network I . 33,333 0.81
Concert Network II 17,707 0.43
The Daily 42,667 1.03
Graduate Students Assoc. 14,933 0.36
KZSU
Part I 59,123 1.43
Part n 10,533 0.26
LSJUMB
Part I 29,201 0.71
Part II 6,667 0.16
Stanford Latino Student Alliance 25,651 0.62
Stanford In Government (SIG) 24,427 0.59
S3TOP 6,836 0.17
Stanford Action 14,467 0.35
Student Channel 36,060 0.87
SURE 47,093 1.14
Tuesday Films 17,627 0.43
Women's Center 14,989 0.37
TOTALS $682,217 $16.52

